sampleID,Axis13.778467,Axis6.232042,Axis5.045392,region,location,siteID,depth,filter,subset,MPA,management,restrictions
EB246,0.036773324,-0.187023083,0.09400101,Wakatobi,Wakatobi,WK_06,M,12um,M12,no,open access,unrestricted fishing
EB249,0.160623652,-0.023010613,-0.021849958,Wakatobi,Wakatobi,WK_08,M,12um,M12,no,open access,unrestricted fishing
EB252,0.143395889,0.143951025,0.142141371,Wakatobi,Wakatobi,WK_09,M,12um,M12,no,open access,unrestricted fishing
EB254,0.176182889,-0.120824641,-0.038652007,Wakatobi,Wakatobi,WK_11,M,12um,M12,no,open access,unrestricted fishing
EB256,0.060132955,-0.199956795,0.031776046,Wakatobi,Wakatobi,WK_12,M,12um,M12,no,open access,unrestricted fishing
EB258,0.366467507,0.320742005,0.102019526,Wakatobi,Wakatobi,WK_15,M,12um,M12,no,open access,unrestricted fishing
EB261,0.373655879,0.373554611,0.127714435,Wakatobi,Wakatobi,WK_16,M,12um,M12,no,open access,unrestricted fishing
EB263,0.201226452,0.027120391,-0.029902787,Wakatobi,Wakatobi,WK_18,M,12um,M12,no,open access,unrestricted fishing
EB267,0.273789861,0.013403313,-0.076589408,Wakatobi,Wakatobi,WK_20,M,12um,M12,no,open access,unrestricted fishing
EB356,-0.123559388,0.158945407,-0.080454178,Lombok,North Lombok,LBK_01,M,12um,M12,yes,core zone,fishing prohibited
EB360,-0.015873127,0.102044242,-0.257547445,Lombok,North Lombok,LBK_02,M,12um,M12,yes,sustainable fisheries zone,fishing gear restriction
EB364,-0.130985221,0.12352692,-0.220980978,Lombok,North Lombok,LBK_03,M,12um,M12,yes,sustainable fisheries zone,fishing gear restriction
EB368,0.184251728,0.02853791,-0.196438205,Lombok,North Lombok,LBK_04,M,12um,M12,yes,core zone,fishing prohibited
EB385,-0.12941269,-0.005810381,-0.14960962,Lombok,North Lombok,LBK_13,M,12um,M12,yes,core zone,fishing prohibited
EB389,0.051790518,-0.058100603,-0.233965823,Lombok,North Lombok,LBK_14,M,12um,M12,yes,sustainable fisheries zone,fishing gear restriction
EB393,0.058513703,0.033791477,-0.20346874,Lombok,North Lombok,LBK_15,M,12um,M12,yes,sustainable fisheries zone,fishing gear restriction
