region,depth,filter,subset,taxa,percent
Wakatobi,S,0.4um,S04,Other,0.087194017
Wakatobi,S,0.4um,S04,Apicomplexa,0.018893217
Wakatobi,S,0.4um,S04,Ciliophora,0.090077301
Wakatobi,S,0.4um,S04,Bacillariophyta,0.068217097
Wakatobi,S,0.4um,S04,Cercozoa,0.01756183
Wakatobi,S,0.4um,S04,Chrysophyceae,0.039116878
Wakatobi,S,0.4um,S04,Dinoflagellata,0.434506904
Wakatobi,S,0.4um,S04,Foraminifera,0.009742694
Wakatobi,S,0.4um,S04,MAST,0.100739697
Wakatobi,S,0.4um,S04,Pelagophyceae,0.05853923
Misool,S,0.4um,S04,Radiolaria,0.086305477
Misool,S,0.4um,S04,Other,0.115393525
Misool,S,0.4um,S04,Apicomplexa,0.089098938
Misool,S,0.4um,S04,Ciliophora,0.088432691
Misool,S,0.4um,S04,Bacillariophyta,0.113245215
Misool,S,0.4um,S04,Cercozoa,0.009428571
Misool,S,0.4um,S04,Chrysophyceae,0.010969997
Misool,S,0.4um,S04,Dinoflagellata,0.417529737
Misool,S,0.4um,S04,Foraminifera,0.029061556
Misool,S,0.4um,S04,MAST,0.033599324
Misool,S,0.4um,S04,Pelagophyceae,0.006934968
Waigeo,S,0.4um,S04,Radiolaria,0.078965065
Waigeo,S,0.4um,S04,Other,0.070811037
Waigeo,S,0.4um,S04,Apicomplexa,0.021522826
Waigeo,S,0.4um,S04,Ciliophora,0.038982284
Waigeo,S,0.4um,S04,Bacillariophyta,0.190762456
Waigeo,S,0.4um,S04,Cercozoa,0.007576362
Waigeo,S,0.4um,S04,Chrysophyceae,0.005925463
Waigeo,S,0.4um,S04,Dinoflagellata,0.480941271
Waigeo,S,0.4um,S04,Foraminifera,0.007349453
Waigeo,S,0.4um,S04,MAST,0.06895655
Waigeo,S,0.4um,S04,Pelagophyceae,0.028207235
Lombok,S,12um,S12,Radiolaria,0.027717075
Lombok,S,12um,S12,Other,0.1685245
Lombok,S,12um,S12,Apicomplexa,0.032056951
