L3,EB501,EB502,EB503,EB504,EB505,EB506,EB507,EB508,EB509,EB510,EB511,EB512,EB513,EB514,EB515,EB516,EB517,EB518,EB519,EB520,EB521,EB522,EB523,EB524,EB525,EB526,EB527,EB530,EB531,EB532,EB533,EB534,EB535,EB536,EB537,EB538,EB539,EB540,EB541,EB542,EB543,EB544,EB545,EB546,EB547,EB548,EB550,EB551,EB552,EB553,EB554,EB555,EB556,EB557,EB558,EB559,EB560,EB561,EB562,EB563,EB564,EB565,EB566,EB567,EB568,EB569,EB570,EB571,EB572,EB573,EB574,EB575,EB576,EB577,EB578,EB579,EB580,EB582,EB583,EB584,EB585,EB586,EB587,EB588,EB589,EB590,EB591,EB592,EB593,EB594,EB595,EB596,EB601,EB602,EB603,EB604,EB605,EB606,EB607,EB608,EB609,EB610,EB611,EB612,EB613,EB614,EB615,EB616,EB617,EB618,EB619,EB620,EB621,EB622,EB623,EB624,EB625,EB626,EB627,EB628,EB629,EB630,EB631,EB632,EB633,EB634,EB635,EB636,EB637,EB638,EB639,EB640,EB642,EB643,EB644,EB645,EB646,EB647,EB648,EB649,EB650,EB651,EB652,EB653,EB654,EB655,EB656,EB657,EB658,EB659,EB660,EB1,EB10,EB11,EB12,EB13,EB14,EB15,EB16,EB17,EB18,EB19,EB2,EB20,EB21,EB22,EB23,EB24,EB25,EB26,EB3,EB4,EB41,EB42,EB43,EB44,EB45,EB46,EB47,EB5,EB6,EB7,EB8,EB9,EB202,EB203,EB204,EB205,EB206,EB207,EB208,EB209,EB210,EB211,EB212,EB213,EB214,EB215,EB216,EB217,EB218,EB219,EB220,EB221,EB222,EB223,EB224,EB225,EB226,EB227,EB228,EB229,EB230,EB231,EB232,EB233,EB234,EB235,EB236,EB237,EB238,EB239,EB240,EB241,EB242,EB243,EB244,EB245,EB246,EB247,EB248,EB249,EB250,EB251,EB252,EB253,EB254,EB255,EB256,EB257,EB258,EB259,EB260,EB261,EB262,EB263,EB265,EB266,EB267,EB268,EB269,EB270,EB271,EB272,EB273,EB274,EB275,EB276,EB277,EB278,EB279,EB280,EB281,EB282,EB356,EB357,EB358,EB359,EB360,EB361,EB362,EB363,EB364,EB365,EB366,EB367,EB368,EB369,EB370,EB371,EB372,EB373,EB374,EB375,EB376,EB377,EB378,EB379,EB380,EB381,EB382,EB383,EB384,EB385,EB386,EB387,EB388,EB389,EB390,EB391,EB392,EB393,EB394,EB395,EB396
Chrysophyceae,0,0.005579595,0,0,0.004156383,0.00132307,0,0,0.004130679,0.002128954,0.008058387,0.005117999,0.002355711,0.003854626,0.004242724,0.00927703,0.004637296,0.003425147,0.00116584,0.006650331,0.00233931,0.000795789,0.002416379,0.00372734,0,0.005802148,0.0006566,0.133360858,0,0.035732451,0,0.008879186,0,0.003607576,0.007929339,0,0,0.004691253,0,0.049880605,0.013481126,0.001045888,0,0,0,0,0,0,0,0,0,0.026527523,0,0.003077921,0.00238526,0,0,0,0,0,0.001014122,0,0,0,0.006303257,0.001580699,0.0024386,0.005732677,0,0.00231741,0.001262994,0.001189318,0.000228388,0.001925112,0,0.002930833,0,0,0.006328061,0.004647235,0.002997111,0,0.010756302,0.005903676,0.003361545,0,0.002325749,0.000448329,0.006702463,0,0.002635211,0.00442358,0.004443367,0,0.004180212,0.002517428,0.00325458,0,0.002131187,0,0.00283918,0,0.00118859,0.001137287,0.005956234,0.001129043,0,0.002030869,0.009966432,0.001742162,0.006180911,0.003919308,0.008483677,0.000636673,0.017683187,0.005436946,0.016842602,0.000262565,0.005350919,0.00419507,0,0.006154879,0.00702341,0.006934812,0.001353347,0.003302509,0,0.002973444,0,0,0.003929886,0,0.00737393,0.003723009,0,0.014377214,0.004613126,0.00390625,0.003218116,0.013187119,0.008287159,0.133717208,0.02362805,0.011484252,0,0.013609614,0.004542434,0.007359157,0.000882724,0.006817399,0.009803177,0,0,0,0,0.001517858,0,0,0,0,0,0,0,0,0,0,0.002487121,0,0,0.006749157,0,0.013287117,0.002205501,0,0.009137373,0,0,0,0,0,0.006125574,0,0,0,0,0,0.005938242,0.016862545,0.002516109,0,0.006564424,0,0.010059536,0,0,0,0.009344654,0,0.006439073,0.008853014,0.001104566,0.004359198,0.008557675,0.008171031,0,0.003663004,0,0.029243892,0.003984442,0.007512852,0,0.011987881,0,0.006729475,0.00855002,0,0,0.00249441,0,0.00038429,0,0.000739372,0,0.045358445,0,0.000419962,0.004780467,0.000707857,0.003430222,0.004816375,0.019816407,0.004855114,0.050429185,0.192211539,0.740763889,0.016127456,0,0.015363128,0,0.003461308,0.062868771,0.006139733,0.014464878,0.0380438,0,0.01895535,0.007265019,0.041548411,0,0.052083305,0.004034493,0.04452444,0.011639915,0.017936481,0.046082949,0.174533107,0.230760285,0.017422964,0.011833063,0.011102807,0.006008758,0.016718616,0.037856784,0.0614474,0,0.00331625,0.01504872,0.036205201,0,0.010416005,0.005491329,0.017950446,0.00101569,0.006308911,0.008506549,0.012144415,0,0.00936284,0.002961499,0.020231929,0.021474068,0.003378377,0.024805493,0.003643428,0.002643753,0,0.005072855,0.024851204,0.008073913,0.002838222,0.008832314,0.010603402,0.014572175,0.005810658,0,0.002903601,0.016481141,0,0.006331842,0.000762098,0.019218449,0,0.005019833,0.004660029,0.006772325
Ciliophora,0.033279308,0.001821909,0.002445486,0.006410256,0.000909209,0.005292279,0.015438653,0,0,0.01459854,0.019461762,0.003127666,0.007773852,0.008627019,0.000690677,0.004158669,0.007618418,0.011559869,0.031186242,0.002100104,0.005792582,0,0.018695153,0.063138879,0,0.000725268,0.090528562,0,0,0,0,0.011790393,0.056202143,0.003106523,0.017866104,0,0,0,0,0.25338286,0.009436789,0.007451955,0.025735295,0,0.03311308,0,0,0,0.004076404,0,0.044451871,0,0,0.021545439,0.021796349,0.003216936,0.031293727,0,0,0,0.018930289,0,0,0.021844384,0.121396052,0.01921797,0,0.026953638,0.013347222,0.023697392,0.012921405,0.025516273,0,0.034555782,0,0.033802265,0.015486727,0.004333332,0.024146543,0.022391211,0.006539154,0.001030102,0.046050421,0.021853961,0.007323368,0,0.017951889,0.016364044,0.001180548,0,0.03093236,0.023742892,0.005857168,0,0.018578727,0.021688615,0.015308583,0,0.013734312,0.015167475,0.014331103,0,0.042393029,0.042891957,0.007769001,0.000730558,0.012762764,0.017330084,0.018073841,0.003484321,0.017829549,0.010605186,0.015356528,0.000955009,0.030813214,0.036069486,0.005924992,0.000675122,0.022772525,0.004719455,0,0.005371531,0.03812709,0.023281161,0.000676673,0.034676354,0.011213343,0,0.000501945,0,0,0,0.003805899,0.003276247,0.022474748,0.01015263,0.014258755,0.010817307,0.026579262,0.004025542,0.004432668,0.063339733,0.044588416,0.006322137,0,0.018391366,0.021493463,0.009049773,0.001008827,0.041939938,0.018010487,0.001823538,0,0.002546756,0,0.000357142,0,0.009895833,0.003621439,0.00109038,0.027952594,0.015934539,0.001547388,0.005681818,0.010782164,0.024644673,0.03304317,0.002776235,0.007113073,0.007874015,0,0.015405353,0.007200312,0.028456574,0.004800991,0,0,0.03180877,0,0,0,0,0.000449136,0.001179245,0,0.009613894,0,0.013285642,0,0,0.012431742,0,0.01108602,0,0,0.014241917,0.01081048,0.002030644,0.007289516,0.010545501,0.005277369,0,0.0094491,0.033691515,0,0,0.027100271,0.015583916,0.035006166,0.008461844,0.007272166,0.013700435,0,0.010033035,0.002732482,0.041168864,0.013580547,0.002838465,0,0.004150336,0.004016487,0.001478743,0.003816412,0.004997117,0,0,0.000809001,0,0.000361075,0.0034116,0.002039925,0,0,0.006346155,0.015347223,0.003030006,0,0.003301169,0,0.002790237,0.001356391,0,0.008155728,0.003442342,0.007092199,0.005981466,0.000212014,0.002509359,0.001142857,0.003843582,0.001582155,0.00265252,0.001971275,0.005594866,0.005003291,0.002886248,0.068917297,0.004290729,0.007865089,0.004377068,0.06416132,0.005383961,0.009113672,0.002560307,0,0.015676815,0.008881213,0.001919187,0,0.008193077,0.009682083,0.002865329,0,0.008206443,0.009690068,0.001980067,0,0.003283074,0.003410213,0.001134961,0.035122837,0.023015202,0.00151561,0.044206947,0.071711834,0.024634838,0.000323799,0.011277019,0.009821875,0.004020814,0.010066283,0.004500725,0.003923278,0,0,0.020325204,0.002485681,0,0.003933417,0.079004192,0.001345292,0,0.016207013,0.021817409,0
Coccidiomorphea,0,0,0,0,0,0.000962231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000381533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232234,0.000774594,0,0,0,0,0,0,0.000990492,0,0,0,0.001876877,0.001624696,0,0,0,0.001383285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002587693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002698062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006774789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000536034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001143903,0,0.000706714,0,0,0,0.000395539,0,0,0,0,0.000679117,0,0,0,0,0,0,0,0,0,0,0.003207104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001834862,0,0.000998835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colpodea,0,0.071054429,0.050947625,0,0.007663332,0.001804186,0,0,0,0.007603405,0,0,0.000942285,0.002202643,0.01568821,0,0,0.005280434,0.005829204,0,0.13044447,0.015548481,0.013862394,0.022307564,0,0.000580215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042505593,0.000300481,0,0,0,0.002567993,0,0,0.00120688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002834509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024888,0.002971508,0,0,0.002675586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002053572,0.004278245,0,0,0.001877877,0.006702085,0,0,0,0,0,0,0,0,0,0,0,0.000583809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001718318,0,0,0,0,0,0,0,0.00030538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006063752,0.001545092,0,0,0,0,0.000924215,0,0.007111282,0,0.004759572,0,0,0.009658782,0.015452538,0,0,0,0,0,0,0.00606736,0.00444388,0.000362802,0.586091211,0.12729739,0.675511648,0.000153882,0.000474806,0.001372684,0.120808763,0.086855127,0.000493645,0.009,0.000389929,0.001344831,0.002273588,0.001220314,0,0,0.003650255,0.019385417,0.003380575,0,0.001601366,0,0.332105412,0,0.094105558,0,0.001733494,0.000493401,0.000570569,0,0.000444586,0.002312139,0,0,0.000284616,0,0,0,0.000851168,0.001884592,0,0,0.000844594,0,0,0,0.004360147,0,0.106714001,0.00066589,0,0,0.003585324,0.0062897,0.00085034,0.003515138,0.013356562,0.002269534,0,0.006571686,0.016004065,0.000576554,0,0.004111484,0.001482736,0
Colpodellidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000870323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000844952,0,0,0,0,0,0,0.001090196,0.001232907,0,0,0,0,0.000323155,0,0,0,0,0,0.009708738,0.002527913,0,0,0,0,0,0,0.006006006,0,0,0,0,0,0.000429553,0,0.00158831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006175535,0,0,0,0,0,0,0,0.001549463,0,0,0,0,0,0,0,0,0,0,0.000517777,0,0,0,0,0,0,0,0,0,0,0,0.018087855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000930377,0,0.008175779,0.001902425,0.002491108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000790827,0,0,0,0.001712958,0.00599383,0,0,0.003010494,0.000297796,0.005687495,0.010358313,0,0.001205182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000761808,0,0,0.005968125,0,0.000307763,0,0,0.010867734,0.010954064,0,0,0,0,0.000852596,0.003379331,0.002632877,0.001448321,0.000933786,0,0,0,0.008327106,0.005805071,0,0,0.005689574,0,0.008290623,0.001480201,0,0,0.000825659,0,0,0,0.003415398,0,0.000528018,0,0.000607977,0,0,0,0,0,0.002307505,0.00528751,0,0,0,0.002247378,0,0,0,0.000249098,0,0,0,0,0,0.000431717,0.000889115,0,0,0.00114739,0,0
CONThreeP,0,0,0,0,0,0,0,0,0,0,0.003040901,0.003127666,0.000706713,0.001101322,0,0.002239284,0,0.004281433,0,0,0.003119082,0,0,0.002597843,0,0,0.0006566,0,0,0,0,0.001746725,0,0,0.006925624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002429937,0,0,0,0,0.014409222,0,0,0,0,0,0.008404342,0.002828618,0,0.009051593,0.00013025,0.006279435,0.004080444,0.005946589,0,0.007892964,0,0,0,0,0.006161532,0.012463033,0.004740886,0,0,0.006214397,0,0,0.0050149,0.002241649,0.001561369,0,0.001505835,0,0.002787202,0,0.003251277,0,0.0012054,0,0.004262372,0.001263956,0.003109579,0,0.000792394,0,0,0,0.001876877,0.004197129,0.004441001,0.00273768,0.0039225,0.003227665,0.00504725,0,0.006565016,0.005304337,0.002767001,0,0.00360876,0.003321098,0,0.001007162,0.00284281,0,0,0,0,0,0,0,0,0,0.00114177,0.001042442,0.00050505,0,0,0,0.004529202,0,0.001541797,0,0,0.000928021,0,0.004168711,0.001551074,0.001690617,0,0.004142217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003851338,0.002854178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277118,0,0.000736422,0,0.000174276,0,0.000513242,0.007470288,0,0.002472554,0.00158798,0,0.000728952,0,0.001718213,0,0.002139419,0.013096038,0,0,0,0.004489194,0,0,0.008509979,0.002898169,0,0.006729474,0.006698985,0,0.005285841,0.000774127,0,0.001229729,0.001585456,0,0.002109069,0,0,0.000839925,0,0.000808979,0,0,0,0,0.00139485,0,0,0.000293227,0,0,0,0,0,0,0,0.000237403,0,0,0.001568905,0.000781604,0,0.000835561,0,0,0.001408054,0,0.000658328,0.001103566,0,0.000520088,0.006660524,0.001174335,0,0,0.000600902,0.000682749,0,0,0.004193907,0.002489755,0,0.002222928,0,0,0,0,0.000591759,0.000528018,0,0,0,0.00024673,0,0.004856419,0,0,0,0.006104208,0,0.006056176,0.001831197,0,0.000909209,0,0,0,0,0,0,0,0,0,0.000448431,0,0,0,0.001186903
Cyclotrichium_like_organism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010165472,0,0,0.005663164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Developea,0,0,0,0,0,0,0,0,0,0,0,0,0.002120143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000974817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000844833,0,0,0,0,0,0,0.000533789,0,0,0.000200301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141911,0,0,0,0,0,0.004065041,0,0,0,0,0,0,0,0,0
Dictyochophyceae,0,0.001821909,0.001834114,0,0.002987401,0,0,0,0.001126548,0.001216545,0.00547362,0,0.001884569,0.003303965,0.000690675,0,0.002649884,0.00613672,0,0.003500176,0.010025622,0,0.002797914,0.002258994,0,0.002030751,0.000410375,0,0,0,0,0.008879185,0,0.001402947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004373887,0,0,0.005342831,0,0,0,0,0.002361739,0,0.01373719,0.002217813,0.003161398,0,0,0,0.004560066,0.004080444,0.002919236,0,0.005871595,0,0.003712388,0,0.000416667,0.00466278,0.001795521,0.003487548,0,0.001344538,0.009425167,0.004802208,0,0.001816991,0.002017484,0.003046574,0,0,0,0.005291647,0,0.006502555,0.006196746,0.005906461,0,0.002841582,0.001895934,0.004191172,0,0.005348653,0.004874085,0.008675386,0,0.004879881,0.003249391,0.00676478,0.00049776,0.001545228,0.003342939,0.003973368,0,0.00158831,0,0.004812175,7.50852E-05,0.002986561,0.001048767,0,0.01085497,0.001672242,0.00237765,0,0,0,0,0,0,0,0,0.007136061,0.004020848,0.004545454,0.008994274,0.004613126,0.004607371,0.000476758,0.00673237,0.002890869,0,0.003429879,0.003306071,0,0.001103493,0,0.002038684,0.002143757,0.003451846,0.00167186,0,0,0,0.000364387,0,0,0.007552084,0,0,0,0,0,0,0,0,0,0,0,0.00385666,0,0.008858079,0.001037883,0,0.005885085,0,0,0,0,0,0,0,0.001796541,0.000168422,0,0.014575903,0.004750594,0,0.004234427,0,0.006012548,0.052389523,0.00492712,0,0.016294666,0,0.004336407,0.033782537,0.001822379,0.014451243,0.004540992,0,0.006061686,0.010297739,0,0.000915751,0,0.00141089,0.005881795,0.002056149,0.021816494,0.000395205,0,0.01284718,0,0.001044296,0,0.009461552,0.000952949,0.006763507,0.007715887,0.009242144,0.010143619,0,0,0.001049905,0.001470913,0.006269594,0.000812422,0,0.004662685,0.001584301,0,0.005865383,0,0.00723292,0.001114412,0.003809038,0,0.000211917,0.007867074,0.001129147,0.002308225,0.006053772,0.004346831,0.000842459,0.000904593,0.005306679,0,0.006016039,0.000395539,0.005968169,0.010888952,0.008392298,0.004871625,0.00679117,0.002758245,0.012352099,0.006589669,0.004056795,0.001425807,0.002266932,0.006509766,0.011834379,0.00028393,0,0,0.009025364,0,0.002222929,0.001589595,0.006657679,0,0.007684646,0.00103558,0.005808199,0,0.002188715,0.00179485,0.008931657,0.000727934,0.001055743,0.011215519,0,0.002974223,0.001962067,0.003561792,0.003132505,0,0,0.006234616,0.018079181,0.010399801,0.001842404,0,0,0.004430996,0,0.000815464,0.001778229,0.009865472,0,0.000286967,0,0.003630523
Dinoflagellata,0,0.009337282,0,0,0.010650733,0.007697858,0.004574414,0,0.005257229,0.001824817,0.00668998,0,0.002826856,0.004405286,0.000296005,0,0.003643592,0.003567861,0.00116584,0.003500176,0.010693996,0.001530361,0.010428589,0.001807195,0,0.022193209,0.000738673,0,0,0,0.087046303,0.008151383,0,0,0,0,0,0,0.067935538,0,0,0,0,0.001031393,0,0,0,0,0.004425809,0,0,0,0,0.022517417,0.012748808,0,0.003180257,0,0,0,0.012469952,0,0,0,0.012489786,0.013227955,0,0.007945287,0.003841397,0.025192497,0.022345284,0.018488484,0,0.011839445,0.001761532,0.019538883,0,0.001166665,0.013322232,0.000528095,0.007029589,0.002861394,0.009411764,0.009943036,0.009184223,0.003472021,0.01235555,0.003586638,0.015461367,0,0.025850164,0,0.011189206,0.002090176,0.001393405,0.003679318,0.010607521,0,0.028889416,0.001053297,0.004529169,0,0.032488113,0.017871648,0.007898485,0.002523744,0.003378378,0.002301652,0.014304153,0.003484321,0.017116368,0.014063401,0.010846221,0.002971138,0.005082592,0.008752153,0.007519026,0.000900225,0.019910403,0.00908932,0,0.009176364,0.019565218,0.004953438,0.001845472,0,0.001533449,0,0.000941147,0,0,0,0.012274024,0.02293373,0.009343434,0.008721722,0.030824072,0.009615385,0.029558997,0.012354247,0.013057094,0.010236724,0.02629573,0.020358448,0.004623334,0.018820498,0.00731221,0.027944905,0.018032785,0.01328961,0.021430204,0.000841633,0,0,0.000971699,0.001339286,0,0,0,0,0,0,0.002643457,0,0.004203217,0,0,0,0,0,0,0.009435779,0.002335238,0,0.010840946,0,0,0,0,0,0,0,0,0,0,0.02108854,0.007917657,0.024016352,0.015894445,0.026552623,0.023062624,0.024395121,0.0061589,0,0.005449021,0.042824647,0.005680084,0.011814658,0.020167659,0.003384975,0.01681394,0.018744551,0.02068105,0.025408553,0,0.018315017,0,0.036683129,0.001043545,0.011071569,0.030790655,0.017389014,0,0.008809495,0.009431469,0,0,0.003096509,0,0.008838676,0.012366558,0,0.008034549,0.009609841,0,0,0,0.00829204,0.001624842,0.016455951,0.018213609,0,0,0.007211539,0.000763889,0.016420683,0.002476472,0.001523616,0.000725601,0.004238336,0.006375042,0.001340861,0.004462567,0.015549885,0.004575612,0.004970514,0.004537103,0.012094254,0.004142857,0.014371651,0.000870185,0.009283821,0.005256735,0.002139214,0,0.008234295,0.003185578,0.007801326,0.007723376,0.00811359,0.009369591,0.00396713,0.006409613,0.008591256,0,0.026982209,0.016035525,0.019762438,0,0.008193079,0.020231217,0.026377888,0.011386417,0.013756463,0.013758417,0.015114515,0.017218735,0.000607977,0.006012745,0.019343698,0.037124656,0.024493244,0.010356673,0.017488461,0.0042961,0.009156311,0.004425258,0.013678605,0.002080907,0.008751183,0.00616963,0.023419025,0.012766222,0.000566893,0.005782969,0,0.012428401,0,0.040197616,0.00635082,0.024407429,0,0.014581423,0.011861893,0.004747609
Dinophyceae,0.110426796,0.069118652,0.078459345,0.232967035,0.131575529,0.048472452,0.069269728,0.336705052,0.193390912,0.190085156,0.302873648,0.3053739,0.126501769,0.294236416,0.403848053,0.189699294,0.30308049,0.286285148,0.328767124,0.143857193,0.136905428,0.22178009,0.159481109,0.219461254,0.33011494,0.204235563,0.230548256,0,0.3063648,0.074516785,0.193233262,0.430858804,0.31684533,0.424491434,0.569406807,0.25623179,0.412949839,0.612399272,0.439566546,0.279119129,0.194278012,0.33971761,0.178095075,0.17262941,0.230440003,0.099931318,0.475057661,0.182926831,0.236897277,0.407001127,0.21657754,0.248227515,0.542307692,0.292402397,0.570735317,0.666995278,0.183310011,1,0.37516374,0.163310962,0.266977176,0.130928951,0.405527549,0.248170335,0.279677834,0.496921793,0.490681065,0.299909479,0.472556776,0.455483324,0.530263281,0.26565034,0.680141707,0.463182218,0.435098536,0.266901132,0.316371683,0.503416669,0.263363864,0.244824668,0.435889065,0.437221022,0.147899161,0.194821332,0.432979153,0.373994567,0.243186249,0.241761936,0.274229785,0.48586859,0.133140902,0.275886975,0.425755362,0.547028963,0.329540176,0.360766848,0.441899708,0.604078319,0.24342884,0.235938491,0.19982424,0.429800673,0.175713153,0.083509341,0.450084162,0.600119542,0.095345345,0.111697809,0.251278067,0.331508211,0.190300726,0.26236312,0.414196732,0.420309849,0.234963995,0.319718869,0.34686764,0.397786951,0.222623193,0.20416011,0.456118818,0.33695166,0.166053512,0.153754711,0.449249389,0.57232497,0.148265289,0.215318363,0.585832602,0.435677339,0.179028133,0.164411578,0.396289244,0.325093074,0.53838384,0.374420827,0.282658841,0.436899036,0.260667463,0.573709048,0.490291495,0.101087651,0.134146342,0.375500256,0.5847158,0.304193217,0.327941495,0.283377243,0.518915515,0.210390054,0.224865126,0.219385605,0.19190405,0.373179465,0.257378839,0.269464285,0.524481067,0.500781251,0.183727669,0.104131326,0.25533306,0.257105946,0.381237911,0.64962121,0.032346491,0.087364712,0.218511284,0.206218765,0.175864606,0.092720554,0.636277304,0.361062971,0.395044107,0.261292713,0.173610041,0.313658202,0.401997503,0.287972897,0.31494512,0.36118236,0.495952745,0.2645209,0.192229958,0.148416456,0.148778225,0.213366414,0.180522565,0.237097601,0.148573182,0.248851641,0.168757994,0.207558488,0.213303224,0.20967742,0.128837891,0.245376325,0.241067604,0.265829799,0.254647062,0.164952481,0.188880708,0.181560595,0.305045462,0.182561004,0.343429158,0.310439563,0.659891598,0.272686455,0.224456882,0.374219057,0.276342258,0.110789092,0.135129068,0.210693747,0.157778757,0.225095417,0.37204194,0.200154822,0.240738534,0.181999847,0.170277984,0.208872457,0.222757848,0.208725738,0.239359767,0.32904039,0.336471281,0.148346648,0.182794731,0.185029098,0.240128221,0.217560178,0.303969957,0.192115383,0.065486109,0.231453422,0.572684522,0.187023873,0.246704558,0.171829201,0.227738216,0.0654199,0.225590521,0.250459965,0.340196751,0.314827299,0.3918304,0.264675706,0.365999999,0.236519482,0.265089812,0.170708603,0.199380458,0.143656411,0.386043455,0.149575552,0.216891357,0.164607982,0.277049521,0.226539985,0.39403198,0.127514876,0.266599899,0.24396895,0.337497632,0.021254143,0.115579126,0.169095917,0.557306589,0.197459514,0.25578035,0.258469578,0.421324132,0.10692094,0.179525158,0.286317733,0.451043337,0.112110898,0.065601643,0.21875158,0.140491353,0.122466215,0.252450239,0.172820015,0.175809645,0.124918245,0.146141389,0.107236084,0.106792082,0.16485336,0.31010513,0.15981387,0.159297541,0.28727324,0.023585442,0.059233451,0.205392845,0.620005193,0.062071255,0.122062739,0.176361299,0.455941621,0.121049723,0.156534635,0.095021998
