sampleID,region,location,marine_protected_area,management_type,fishing_restriction,siteID,depth,filter,subset,SAR_OTUrichness,diatom_OTUrichness,dinoAll_OTUrichness,dinophyceae_OTUrichness,SAR_ASVrichness,diatom_ASVrichness,dinoAll_ASVrichness,dinophyceae_ASVrichness,radio_OTUrichness,radio_ASVrichness,foram_OTUrichness,foram_ASVrichness,cerc_OTUrichness,cerc_ASVrichness,api_OTUrichness,api_ASVrichness,ciliate_OTUrichness,ciliate_ASVrichness,MAST_OTUrichness,MAST_ASVrichness,pelago_OTUrichness,pelago_ASVrichness,chryso_OTUrichness,chryso_ASVrichness
EB241,Wakatobi,Wakatobi,no,open access,unrestricted,WK_04,S,12um,S12,66,1,21,9,125,42,30,16,4,4,4,5,4,4,7,11,3,3,3,2,1,1,2,2
EB244,Wakatobi,Wakatobi,no,open access,unrestricted,WK_05,S,12um,S12,58,11,16,10,127,67,25,16,1,2,1,1,3,3,2,2,10,11,3,2,0,0,1,1
EB247,Wakatobi,Wakatobi,no,open access,unrestricted,WK_06,S,12um,S12,46,7,13,5,76,27,24,12,3,3,1,1,0,0,0,0,8,9,3,2,1,1,1,1
EB250,Wakatobi,Wakatobi,no,open access,unrestricted,WK_08,S,12um,S12,81,5,19,13,152,53,42,30,13,14,2,2,1,1,2,3,20,25,3,1,0,0,1,1
EB255,Wakatobi,Wakatobi,no,open access,unrestricted,WK_11,S,12um,S12,128,21,24,13,228,52,44,22,17,24,2,4,12,12,6,13,22,29,9,9,1,1,3,3
EB259,Wakatobi,Wakatobi,no,open access,unrestricted,WK_15,S,12um,S12,109,14,23,14,177,40,32,18,10,11,3,4,8,8,3,3,19,22,9,7,2,2,6,9
EB262,Wakatobi,Wakatobi,no,open access,unrestricted,WK_16,S,12um,S12,130,13,36,10,224,28,89,31,14,19,2,2,6,7,5,5,17,25,18,16,2,2,0,0
EB265,Wakatobi,Wakatobi,no,open access,unrestricted,WK_18,S,12um,S12,107,11,27,13,226,67,72,37,9,11,4,12,7,8,6,9,18,22,8,4,1,1,2,2
EB269,Wakatobi,Wakatobi,no,open access,unrestricted,WK_20,S,12um,S12,109,9,31,16,231,65,64,37,7,9,4,4,9,12,5,8,19,23,2,1,2,2,3,3
EB275,Wakatobi,Wakatobi,no,open access,unrestricted,WK_09,S,12um,S12,90,8,22,14,186,73,38,29,6,7,3,4,4,4,2,3,22,29,1,1,0,0,2,2
EB279,Wakatobi,Wakatobi,no,open access,unrestricted,WK_12,S,12um,S12,70,1,17,12,119,41,31,24,4,4,1,1,3,3,4,5,12,14,3,4,0,0,1,1
EB358,Lombok,North Lombok,yes,core zone,no-take,LBK_01,S,12um,S12,124,4,30,10,255,42,62,32,7,11,4,7,8,9,7,13,24,28,13,9,2,2,3,6
EB362,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_02,S,12um,S12,125,3,33,10,231,26,86,26,11,13,5,7,6,6,5,6,19,26,13,7,1,1,4,4
EB366,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_03,S,12um,S12,168,4,43,18,401,57,119,49,16,20,5,11,12,17,6,16,24,31,17,12,1,1,6,9
EB370,Lombok,North Lombok,yes,core zone,no-take,LBK_04,S,12um,S12,120,6,21,8,237,48,49,19,6,10,5,8,11,15,5,5,16,17,11,5,2,2,3,3
EB373,Lombok,North Lombok,no,open access,unrestricted,LBK_05,S,12um,S12,101,5,21,9,207,42,46,19,7,9,5,9,4,4,2,6,17,19,9,11,1,1,2,2
EB376,Lombok,North Lombok,no,open access,unrestricted,LBK_06,S,12um,S12,96,8,18,9,160,29,27,13,7,7,6,8,7,9,5,6,21,26,7,6,0,0,1,1
EB381,Lombok,South Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_11,S,12um,S12,84,14,24,9,129,34,40,18,3,3,6,8,4,5,4,4,15,15,4,4,1,1,1,1
EB387,Lombok,North Lombok,yes,core zone,no-take,LBK_13,S,12um,S12,54,10,7,3,98,23,10,5,1,1,2,6,5,8,2,4,15,17,2,1,1,1,1,1
EB391,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_14,S,12um,S12,104,5,20,12,246,61,44,29,6,8,4,9,11,17,6,10,25,31,3,3,0,0,1,1
EB395,Lombok,North Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_15,S,12um,S12,71,8,17,10,128,28,23,15,4,4,4,7,2,2,2,6,19,27,2,1,1,1,1,1
